preprocessing,vectorizer,model,val_f1,test_f1
"{'remove_stopwords': True, 'normalization': 'lemmatization', 'handle_negations': True, 'normalize_emojis': True}","{'method': 'tfidf', 'ngram_range': (1, 2), 'sublinear_tf': True, 'max_features': 10000}","{'model': 'svm', 'search': 'manual'}",0.7863247863247863,0.773172033446006
"{'remove_stopwords': True, 'normalization': None}","{'method': 'tfidf', 'ngram_range': (1, 1), 'max_features': 5000}","{'model': 'lgbm', 'search': 'manual', 'params': {'n_estimators': 100}}",0.7464863903220067,0.5714285714285714
"{'remove_stopwords': 'keep_negations', 'handle_negations': True}","{'method': 'tfidf_svd', 'svd_dim': 300}","{'model': 'logreg', 'search': 'manual', 'params': {'C': 1.0}}",0.7437511238985794,0.7459440185416295
"{'remove_stopwords': True, 'normalization': 'lemmatization'}","{'method': 'tfidf', 'ngram_range': (1, 2), 'max_features': 10000}","{'model': 'rf', 'search': 'manual', 'params': {'n_estimators': 100}}",0.7437511238985794,0.653271692745377
"{'remove_stopwords': True, 'normalization': None}","{'method': 'tfidf', 'ngram_range': (1, 1), 'max_features': 5000}","{'model': 'logreg', 'search': 'manual', 'params': {'C': 1.0}}",0.7294372294372294,0.7726867534319843
"{'remove_stopwords': False, 'normalization': None}","{'method': 'tfidf', 'ngram_range': (1, 2), 'max_features': 10000}","{'model': 'lgbm', 'search': 'manual', 'params': {'n_estimators': 100}}",0.6088832943715159,0.64
"{'remove_stopwords': True, 'normalization': 'lemmatization'}","{'method': 'tfidf_svd', 'svd_dim': 100}","{'model': 'lgbm', 'search': 'manual', 'params': {'n_estimators': 100}}",0.653271692745377,0.7192012836512747
"{'remove_stopwords': True, 'normalization': 'lemmatization'}","{'method': 'tfidf', 'ngram_range': (1, 2), 'sublinear_tf': True, 'max_features': 10000}","{'model': 'rf', 'search': 'manual', 'params': {'n_estimators': 100}}",0.7464863903220067,0.7733333333333333
"{'remove_stopwords': True, 'normalization': 'lemmatization', 'handle_negations': True, 'normalize_emojis': True}","{'method': 'tfidf', 'ngram_range': (1, 2), 'sublinear_tf': True, 'max_features': 10000}","{'model': 'logreg', 'search': 'manual', 'params': {'C': 1.0}}",0.7599573257467995,0.7863247863247863
"{'remove_stopwords': True, 'normalization': 'lemmatization', 'handle_negations': True, 'normalize_emojis': True}","{'method': 'tfidf_svd', 'svd_dim': 300}","{'model': 'rf', 'search': 'manual', 'params': {'n_estimators': 100}}",0.6626686656671663,0.6698564593301435
"{'remove_stopwords': True, 'normalization': None}","{'method': 'tfidf', 'ngram_range': (1, 2), 'max_features': 10000}","{'model': 'lgbm', 'search': 'manual', 'params': {'n_estimators': 100}}",0.7198007471980075,0.6212121212121212
"{'remove_stopwords': True, 'normalization': 'lemmatization', 'handle_negations': True, 'normalize_emojis': True}","{'method': 'tfidf_svd', 'svd_dim': 100}","{'model': 'logreg', 'search': 'manual', 'params': {'C': 1.0}}",0.7040889526542324,0.7053571428571428
"{'remove_stopwords': True, 'normalization': 'lemmatization', 'handle_negations': True, 'normalize_emojis': True}","{'method': 'tfidf', 'ngram_range': (1, 3), 'max_features': 15000}","{'model': 'logreg', 'search': 'manual', 'params': {'C': 1.0}}",0.6931151040740082,0.7596153846153846
"{'remove_stopwords': True, 'normalization': 'lemmatization'}","{'method': 'tfidf_svd', 'svd_dim': 100}","{'model': 'svm', 'search': 'manual'}",0.7589285714285714,0.7464863903220067
"{'remove_stopwords': True, 'normalization': 'lemmatization'}","{'method': 'tfidf', 'ngram_range': (1, 1), 'max_features': 5000}","{'model': 'rf', 'search': 'manual', 'params': {'n_estimators': 100}}",0.6657158138705652,0.6527777777777777
